y,Output,USO0,DJIA0,UNG0,USO1,DJIA1,UNG1,USO2,DJIA2,UNG2,USO3,DJIA3,UNG3,USO4,DJIA4,UNG4
191,0.42,-0.14,-0.15,0.24,0.1,0.12,0.31,0.25,-2.06,-0.01,-0.45,-0.06,-0.41,0.11,0.35,0.34
192,0,0.42,0.56,-0.24,-0.14,-0.15,0.24,0.1,0.12,0.31,0.25,-2.06,-0.01,-0.45,-0.06,-0.41
193,-0.77,0,-1.19,0.4,0.42,0.56,-0.24,-0.14,-0.15,0.24,0.1,0.12,0.31,0.25,-2.06,-0.01
194,0.63,-0.77,-1.8,-0.03,0,-1.19,0.4,0.42,0.56,-0.24,-0.14,-0.15,0.24,0.1,0.12,0.31
195,0.23,0.63,0.77,0.23,-0.77,-1.8,-0.03,0,-1.19,0.4,0.42,0.56,-0.24,-0.14,-0.15,0.24
196,-0.6,0.23,0.41,0.01,0.63,0.77,0.23,-0.77,-1.8,-0.03,0,-1.19,0.4,0.42,0.56,-0.24
197,0.21,-0.6,-1.89,-0.45,0.23,0.41,0.01,0.63,0.77,0.23,-0.77,-1.8,-0.03,0,-1.19,0.4
198,-0.03,0.21,0.96,-0.16,-0.6,-1.89,-0.45,0.23,0.41,0.01,0.63,0.77,0.23,-0.77,-1.8,-0.03
199,0.14,-0.03,-0.75,-0.35,0.21,0.96,-0.16,-0.6,-1.89,-0.45,0.23,0.41,0.01,0.63,0.77,0.23
200,-0.12,0.14,0.11,-0.16,-0.03,-0.75,-0.35,0.21,0.96,-0.16,-0.6,-1.89,-0.45,0.23,0.41,0.01
201,-0.25,-0.12,-0.41,-0.02,0.14,0.11,-0.16,-0.03,-0.75,-0.35,0.21,0.96,-0.16,-0.6,-1.89,-0.45
202,-0.17,-0.25,-0.5,-0.45,-0.12,-0.41,-0.02,0.14,0.11,-0.16,-0.03,-0.75,-0.35,0.21,0.96,-0.16
203,-0.41,-0.17,-0.86,0.29,-0.25,-0.5,-0.45,-0.12,-0.41,-0.02,0.14,0.11,-0.16,-0.03,-0.75,-0.35
204,-1.11,-0.41,0.17,-0.91,-0.17,-0.86,0.29,-0.25,-0.5,-0.45,-0.12,-0.41,-0.02,0.14,0.11,-0.16
205,0.32,-1.11,-1.69,0.03,-0.41,0.17,-0.91,-0.17,-0.86,0.29,-0.25,-0.5,-0.45,-0.12,-0.41,-0.02
206,-0.18,0.32,0.1,0.66,-1.11,-1.69,0.03,-0.41,0.17,-0.91,-0.17,-0.86,0.29,-0.25,-0.5,-0.45
207,0.19,-0.18,0.48,0.07,0.32,0.1,0.66,-1.11,-1.69,0.03,-0.41,0.17,-0.91,-0.17,-0.86,0.29
208,0.38,0.19,0.65,-0.13,-0.18,0.48,0.07,0.32,0.1,0.66,-1.11,-1.69,0.03,-0.41,0.17,-0.91
209,-0.16,0.38,0.68,-0.05,0.19,0.65,-0.13,-0.18,0.48,0.07,0.32,0.1,0.66,-1.11,-1.69,0.03
210,0.02,-0.16,-0.13,0.12,0.38,0.68,-0.05,0.19,0.65,-0.13,-0.18,0.48,0.07,0.32,0.1,0.66
211,-0.41,0.02,-0.78,0.74,-0.16,-0.13,0.12,0.38,0.68,-0.05,0.19,0.65,-0.13,-0.18,0.48,0.07
212,0.73,-0.41,-1.12,0.04,0.02,-0.78,0.74,-0.16,-0.13,0.12,0.38,0.68,-0.05,0.19,0.65,-0.13
213,0.11,0.73,-0.83,0.72,-0.41,-1.12,0.04,0.02,-0.78,0.74,-0.16,-0.13,0.12,0.38,0.68,-0.05
214,-0.35,0.11,0.25,0.32,0.73,-0.83,0.72,-0.41,-1.12,0.04,0.02,-0.78,0.74,-0.16,-0.13,0.12
215,0.95,-0.35,-0.13,-0.02,0.11,0.25,0.32,0.73,-0.83,0.72,-0.41,-1.12,0.04,0.02,-0.78,0.74
216,-0.96,0.95,0.37,-0.12,-0.35,-0.13,-0.02,0.11,0.25,0.32,0.73,-0.83,0.72,-0.41,-1.12,0.04
217,-0.33,-0.96,-0.07,0.08,0.95,0.37,-0.12,-0.35,-0.13,-0.02,0.11,0.25,0.32,0.73,-0.83,0.72
218,-0.2,-0.33,-0.63,0.48,-0.96,-0.07,0.08,0.95,0.37,-0.12,-0.35,-0.13,-0.02,0.11,0.25,0.32
219,0.01,-0.2,0.16,0.35,-0.33,-0.63,0.48,-0.96,-0.07,0.08,0.95,0.37,-0.12,-0.35,-0.13,-0.02
220,0.32,0.01,0.13,0.34,-0.2,0.16,0.35,-0.33,-0.63,0.48,-0.96,-0.07,0.08,0.95,0.37,-0.12
221,-0.16,0.32,0.16,0.15,0.01,0.13,0.34,-0.2,0.16,0.35,-0.33,-0.63,0.48,-0.96,-0.07,0.08
222,-0.56,-0.16,-0.47,0.35,0.32,0.16,0.15,0.01,0.13,0.34,-0.2,0.16,0.35,-0.33,-0.63,0.48
223,0.08,-0.56,-1.19,0.34,-0.16,-0.47,0.35,0.32,0.16,0.15,0.01,0.13,0.34,-0.2,0.16,0.35
224,-0.13,0.08,0.4,0.1,-0.56,-1.19,0.34,-0.16,-0.47,0.35,0.32,0.16,0.15,0.01,0.13,0.34
225,0.43,-0.13,-0.74,0.39,0.08,0.4,0.1,-0.56,-1.19,0.34,-0.16,-0.47,0.35,0.32,0.16,0.15
226,-0.83,0.43,0.75,0.05,-0.13,-0.74,0.39,0.08,0.4,0.1,-0.56,-1.19,0.34,-0.16,-0.47,0.35
227,-0.21,-0.83,-0.12,-0.26,0.43,0.75,0.05,-0.13,-0.74,0.39,0.08,0.4,0.1,-0.56,-1.19,0.34
228,-1.11,-0.21,0.46,-0.59,-0.83,-0.12,-0.26,0.43,0.75,0.05,-0.13,-0.74,0.39,0.08,0.4,0.1
229,-0.12,-1.11,-0.04,-0.01,-0.21,0.46,-0.59,-0.83,-0.12,-0.26,0.43,0.75,0.05,-0.13,-0.74,0.39
230,-0.06,-0.12,0.24,0.08,-1.11,-0.04,-0.01,-0.21,0.46,-0.59,-0.83,-0.12,-0.26,0.43,0.75,0.05
231,-0.13,-0.06,2.12,-0.05,-0.12,0.24,0.08,-1.11,-0.04,-0.01,-0.21,0.46,-0.59,-0.83,-0.12,-0.26
232,0.01,-0.13,-0.09,0.6,-0.06,2.12,-0.05,-0.12,0.24,0.08,-1.11,-0.04,-0.01,-0.21,0.46,-0.59
233,0.21,0.01,0.49,0.41,-0.13,-0.09,0.6,-0.06,2.12,-0.05,-0.12,0.24,0.08,-1.11,-0.04,-0.01
234,0.41,0.21,-0.29,0.76,0.01,0.49,0.41,-0.13,-0.09,0.6,-0.06,2.12,-0.05,-0.12,0.24,0.08
235,-0.76,0.41,0.05,0.01,0.21,-0.29,0.76,0.01,0.49,0.41,-0.13,-0.09,0.6,-0.06,2.12,-0.05
236,0.1,-0.76,1.66,-0.05,0.41,0.05,0.01,0.21,-0.29,0.76,0.01,0.49,0.41,-0.13,-0.09,0.6
237,-0.45,0.1,0,-0.1,-0.76,1.66,-0.05,0.41,0.05,0.01,0.21,-0.29,0.76,0.01,0.49,0.41
238,0.02,-0.45,-0.51,-0.02,0.1,0,-0.1,-0.76,1.66,-0.05,0.41,0.05,0.01,0.21,-0.29,0.76
239,-0.15,0.02,0.24,0.33,-0.45,-0.51,-0.02,0.1,0,-0.1,-0.76,1.66,-0.05,0.41,0.05,0.01
240,-0.36,-0.15,-0.46,0.37,0.02,0.24,0.33,-0.45,-0.51,-0.02,0.1,0,-0.1,-0.76,1.66,-0.05
241,0.06,-0.36,0.05,0.28,-0.15,-0.46,0.37,0.02,0.24,0.33,-0.45,-0.51,-0.02,0.1,0,-0.1
242,0.16,0.06,0.11,-0.34,-0.36,0.05,0.28,-0.15,-0.46,0.37,0.02,0.24,0.33,-0.45,-0.51,-0.02
243,-0.25,0.16,-0.36,-0.51,0.06,0.11,-0.34,-0.36,0.05,0.28,-0.15,-0.46,0.37,0.02,0.24,0.33
244,-0.59,-0.25,1.17,-0.67,0.16,-0.36,-0.51,0.06,0.11,-0.34,-0.36,0.05,0.28,-0.15,-0.46,0.37
245,0.25,-0.59,-0.88,-0.04,-0.25,1.17,-0.67,0.16,-0.36,-0.51,0.06,0.11,-0.34,-0.36,0.05,0.28
246,-0.35,0.25,-0.1,0.24,-0.59,-0.88,-0.04,-0.25,1.17,-0.67,0.16,-0.36,-0.51,0.06,0.11,-0.34
247,0.01,-0.35,-0.8,0.07,0.25,-0.1,0.24,-0.59,-0.88,-0.04,-0.25,1.17,-0.67,0.16,-0.36,-0.51
248,0.19,0.01,0.19,0.19,-0.35,-0.8,0.07,0.25,-0.1,0.24,-0.59,-0.88,-0.04,-0.25,1.17,-0.67
249,0.23,0.19,0.13,-0.03,0.01,0.19,0.19,-0.35,-0.8,0.07,0.25,-0.1,0.24,-0.59,-0.88,-0.04
250,0.5,0.23,0.8,-0.36,0.19,0.13,-0.03,0.01,0.19,0.19,-0.35,-0.8,0.07,0.25,-0.1,0.24
251,0.03,0.5,0.21,-0.23,0.23,0.8,-0.36,0.19,0.13,-0.03,0.01,0.19,0.19,-0.35,-0.8,0.07
252,-0.3,0.03,-0.39,0.44,0.5,0.21,-0.23,0.23,0.8,-0.36,0.19,0.13,-0.03,0.01,0.19,0.19
253,0.37,-0.3,-0.12,-0.18,0.03,-0.39,0.44,0.5,0.21,-0.23,0.23,0.8,-0.36,0.19,0.13,-0.03
254,-0.03,0.37,0.78,-0.47,-0.3,-0.12,-0.18,0.03,-0.39,0.44,0.5,0.21,-0.23,0.23,0.8,-0.36
255,-0.16,-0.03,0.07,-0.04,0.37,0.78,-0.47,-0.3,-0.12,-0.18,0.03,-0.39,0.44,0.5,0.21,-0.23
256,0.27,-0.16,0.61,0.05,-0.03,0.07,-0.04,0.37,0.78,-0.47,-0.3,-0.12,-0.18,0.03,-0.39,0.44
257,0.47,0.27,0.06,0.31,-0.16,0.61,0.05,-0.03,0.07,-0.04,0.37,0.78,-0.47,-0.3,-0.12,-0.18
258,0.54,0.47,-0.04,0.38,0.27,0.06,0.31,-0.16,0.61,0.05,-0.03,0.07,-0.04,0.37,0.78,-0.47
259,0,0.54,0.67,-0.17,0.47,-0.04,0.38,0.27,0.06,0.31,-0.16,0.61,0.05,-0.03,0.07,-0.04
260,0.14,0,-0.12,-1.21,0.54,0.67,-0.17,0.47,-0.04,0.38,0.27,0.06,0.31,-0.16,0.61,0.05
261,-0.77,0.14,-1.02,0.09,0,-0.12,-1.21,0.54,0.67,-0.17,0.47,-0.04,0.38,0.27,0.06,0.31
262,-0.15,-0.77,-0.56,0.13,0.14,-1.02,0.09,0,-0.12,-1.21,0.54,0.67,-0.17,0.47,-0.04,0.38
263,0.16,-0.15,0.09,0.33,-0.77,-0.56,0.13,0.14,-1.02,0.09,0,-0.12,-1.21,0.54,0.67,-0.17
264,-0.24,0.16,1.52,0.03,-0.15,0.09,0.33,-0.77,-0.56,0.13,0.14,-1.02,0.09,0,-0.12,-1.21
265,0.11,-0.24,0.41,0.02,0.16,1.52,0.03,-0.15,0.09,0.33,-0.77,-0.56,0.13,0.14,-1.02,0.09
266,0.05,0.11,-0.09,-0.54,-0.24,0.41,0.02,0.16,1.52,0.03,-0.15,0.09,0.33,-0.77,-0.56,0.13
267,-0.02,0.05,-1.07,0.13,0.11,-0.09,-0.54,-0.24,0.41,0.02,0.16,1.52,0.03,-0.15,0.09,0.33
268,0.04,-0.02,0.89,0.39,0.05,-1.07,0.13,0.11,-0.09,-0.54,-0.24,0.41,0.02,0.16,1.52,0.03
269,0.4,0.04,-0.31,0.27,-0.02,0.89,0.39,0.05,-1.07,0.13,0.11,-0.09,-0.54,-0.24,0.41,0.02
270,0.21,0.4,0.05,0.45,0.04,-0.31,0.27,-0.02,0.89,0.39,0.05,-1.07,0.13,0.11,-0.09,-0.54
271,-0.02,0.21,1.47,0.64,0.4,0.05,0.45,0.04,-0.31,0.27,-0.02,0.89,0.39,0.05,-1.07,0.13
272,0.32,-0.02,0.29,0,0.21,1.47,0.64,0.4,0.05,0.45,0.04,-0.31,0.27,-0.02,0.89,0.39
273,0.29,0.32,-0.13,-0.42,-0.02,0.29,0,0.21,1.47,0.64,0.4,0.05,0.45,0.04,-0.31,0.27
274,0.36,0.29,1.7,0.28,0.32,-0.13,-0.42,-0.02,0.29,0,0.21,1.47,0.64,0.4,0.05,0.45
275,0.38,0.36,0.36,0.32,0.29,1.7,0.28,0.32,-0.13,-0.42,-0.02,0.29,0,0.21,1.47,0.64
276,-0.63,0.38,-0.52,0.4,0.36,0.36,0.32,0.29,1.7,0.28,0.32,-0.13,-0.42,-0.02,0.29,0
277,0.46,-0.63,-1.61,-0.48,0.38,-0.52,0.4,0.36,0.36,0.32,0.29,1.7,0.28,0.32,-0.13,-0.42
278,-0.18,0.46,-0.18,0.28,-0.63,-1.61,-0.48,0.38,-0.52,0.4,0.36,0.36,0.32,0.29,1.7,0.28
279,-0.07,-0.18,-0.22,-1.08,0.46,-0.18,0.28,-0.63,-1.61,-0.48,0.38,-0.52,0.4,0.36,0.36,0.32
280,0.25,-0.07,0.16,0.09,-0.18,-0.22,-1.08,0.46,-0.18,0.28,-0.63,-1.61,-0.48,0.38,-0.52,0.4
281,0,0.25,0.78,0.2,-0.07,0.16,0.09,-0.18,-0.22,-1.08,0.46,-0.18,0.28,-0.63,-1.61,-0.48
282,1.07,0,-0.26,0.4,0.25,0.78,0.2,-0.07,0.16,0.09,-0.18,-0.22,-1.08,0.46,-0.18,0.28
283,-0.44,1.07,0.7,0.61,0,-0.26,0.4,0.25,0.78,0.2,-0.07,0.16,0.09,-0.18,-0.22,-1.08
284,0.08,-0.44,0.78,-0.26,1.07,0.7,0.61,0,-0.26,0.4,0.25,0.78,0.2,-0.07,0.16,0.09
285,0.02,0.08,0.61,-0.89,-0.44,0.78,-0.26,1.07,0.7,0.61,0,-0.26,0.4,0.25,0.78,0.2
286,0.12,0.02,0.05,0.49,0.08,0.61,-0.89,-0.44,0.78,-0.26,1.07,0.7,0.61,0,-0.26,0.4
287,0.53,0.12,-0.3,-0.19,0.02,0.05,0.49,0.08,0.61,-0.89,-0.44,0.78,-0.26,1.07,0.7,0.61
288,-0.84,0.53,0.1,0.35,0.12,-0.3,-0.19,0.02,0.05,0.49,0.08,0.61,-0.89,-0.44,0.78,-0.26
289,-1.06,-0.84,-2.71,0.37,0.53,0.1,0.35,0.12,-0.3,-0.19,0.02,0.05,0.49,0.08,0.61,-0.89
290,-0.06,-1.06,-0.16,-0.44,-0.84,-2.71,0.37,0.53,0.1,0.35,0.12,-0.3,-0.19,0.02,0.05,0.49
291,0.3,-0.06,0.33,-0.11,-1.06,-0.16,-0.44,-0.84,-2.71,0.37,0.53,0.1,0.35,0.12,-0.3,-0.19
292,-0.01,0.3,0.33,0.85,-0.06,0.33,-0.11,-1.06,-0.16,-0.44,-0.84,-2.71,0.37,0.53,0.1,0.35
293,0.54,-0.01,0.57,0.04,0.3,0.33,0.85,-0.06,0.33,-0.11,-1.06,-0.16,-0.44,-0.84,-2.71,0.37
294,0.06,0.54,1.25,2.14,-0.01,0.57,0.04,0.3,0.33,0.85,-0.06,0.33,-0.11,-1.06,-0.16,-0.44
295,0.1,0.06,-0.45,-0.12,0.54,1.25,2.14,-0.01,0.57,0.04,0.3,0.33,0.85,-0.06,0.33,-0.11
296,-1.2,0.1,1.19,-0.25,0.06,-0.45,-0.12,0.54,1.25,2.14,-0.01,0.57,0.04,0.3,0.33,0.85
297,0.61,-1.2,-2.4,-0.35,0.1,1.19,-0.25,0.06,-0.45,-0.12,0.54,1.25,2.14,-0.01,0.57,0.04
298,-1.05,0.61,1.31,0.12,-1.2,-2.4,-0.35,0.1,1.19,-0.25,0.06,-0.45,-0.12,0.54,1.25,2.14
299,0.06,-1.05,-0.65,-0.89,0.61,1.31,0.12,-1.2,-2.4,-0.35,0.1,1.19,-0.25,0.06,-0.45,-0.12
300,0.15,0.06,1.94,-0.15,-1.05,-0.65,-0.89,0.61,1.31,0.12,-1.2,-2.4,-0.35,0.1,1.19,-0.25
301,0.42,0.15,0.45,-0.26,0.06,1.94,-0.15,-1.05,-0.65,-0.89,0.61,1.31,0.12,-1.2,-2.4,-0.35
302,-0.27,0.42,-0.31,0.26,0.15,0.45,-0.26,0.06,1.94,-0.15,-1.05,-0.65,-0.89,0.61,1.31,0.12
303,-0.43,-0.27,-1.12,-0.29,0.42,-0.31,0.26,0.15,0.45,-0.26,0.06,1.94,-0.15,-1.05,-0.65,-0.89
304,-0.5,-0.43,-0.32,0.08,-0.27,-1.12,-0.29,0.42,-0.31,0.26,0.15,0.45,-0.26,0.06,1.94,-0.15
305,-0.3,-0.5,-0.54,-0.12,-0.43,-0.32,0.08,-0.27,-1.12,-0.29,0.42,-0.31,0.26,0.15,0.45,-0.26
306,0.01,-0.3,0.37,-0.63,-0.5,-0.54,-0.12,-0.43,-0.32,0.08,-0.27,-1.12,-0.29,0.42,-0.31,0.26
307,-0.03,0.01,-0.67,-0.33,-0.3,0.37,-0.63,-0.5,-0.54,-0.12,-0.43,-0.32,0.08,-0.27,-1.12,-0.29
308,-0.33,-0.03,0.2,-0.59,0.01,-0.67,-0.33,-0.3,0.37,-0.63,-0.5,-0.54,-0.12,-0.43,-0.32,0.08
309,-0.43,-0.33,0.76,0.42,-0.03,0.2,-0.59,0.01,-0.67,-0.33,-0.3,0.37,-0.63,-0.5,-0.54,-0.12
310,0.47,-0.43,-0.07,0.14,-0.33,0.76,0.42,-0.03,0.2,-0.59,0.01,-0.67,-0.33,-0.3,0.37,-0.63
311,-0.46,0.47,1.12,-0.32,-0.43,-0.07,0.14,-0.33,0.76,0.42,-0.03,0.2,-0.59,0.01,-0.67,-0.33
312,-0.34,-0.46,-1.22,0.42,0.47,1.12,-0.32,-0.43,-0.07,0.14,-0.33,0.76,0.42,-0.03,0.2,-0.59
313,-0.14,-0.34,-1.64,0.31,-0.46,-1.22,0.42,0.47,1.12,-0.32,-0.43,-0.07,0.14,-0.33,0.76,0.42
314,-0.52,-0.14,-0.6,0.64,-0.34,-1.64,0.31,-0.46,-1.22,0.42,0.47,1.12,-0.32,-0.43,-0.07,0.14
315,-0.1,-0.52,-0.51,0.1,-0.14,-0.6,0.64,-0.34,-1.64,0.31,-0.46,-1.22,0.42,0.47,1.12,-0.32
316,-0.01,-0.1,-0.23,-0.41,-0.52,-0.51,0.1,-0.14,-0.6,0.64,-0.34,-1.64,0.31,-0.46,-1.22,0.42
317,-0.25,-0.01,0.38,0.21,-0.1,-0.23,-0.41,-0.52,-0.51,0.1,-0.14,-0.6,0.64,-0.34,-1.64,0.31
318,0.28,-0.25,-0.37,0.11,-0.01,0.38,0.21,-0.1,-0.23,-0.41,-0.52,-0.51,0.1,-0.14,-0.6,0.64
319,0.14,0.28,0.34,0.25,-0.25,-0.37,0.11,-0.01,0.38,0.21,-0.1,-0.23,-0.41,-0.52,-0.51,0.1
320,0.19,0.14,-0.09,1.15,0.28,0.34,0.25,-0.25,-0.37,0.11,-0.01,0.38,0.21,-0.1,-0.23,-0.41
321,-0.55,0.19,0.34,0,0.14,-0.09,1.15,0.28,0.34,0.25,-0.25,-0.37,0.11,-0.01,0.38,0.21
322,-0.6,-0.55,-1.04,-0.01,0.19,0.34,0,0.14,-0.09,1.15,0.28,0.34,0.25,-0.25,-0.37,0.11
323,-0.12,-0.6,-0.6,0.13,-0.55,-1.04,-0.01,0.19,0.34,0,0.14,-0.09,1.15,0.28,0.34,0.25
324,0.52,-0.12,0.36,-0.61,-0.6,-0.6,0.13,-0.55,-1.04,-0.01,0.19,0.34,0,0.14,-0.09,1.15
325,0.25,0.52,0.68,0.29,-0.12,0.36,-0.61,-0.6,-0.6,0.13,-0.55,-1.04,-0.01,0.19,0.34,0
326,0.07,0.25,-0.01,0.92,0.52,0.68,0.29,-0.12,0.36,-0.61,-0.6,-0.6,0.13,-0.55,-1.04,-0.01
327,0.09,0.07,-0.09,0.32,0.25,-0.01,0.92,0.52,0.68,0.29,-0.12,0.36,-0.61,-0.6,-0.6,0.13
328,0.08,0.09,1.29,-0.65,0.07,-0.09,0.32,0.25,-0.01,0.92,0.52,0.68,0.29,-0.12,0.36,-0.61
329,-0.2,0.08,0.14,0.47,0.09,1.29,-0.65,0.07,-0.09,0.32,0.25,-0.01,0.92,0.52,0.68,0.29
330,0.3,-0.2,0.45,-0.18,0.08,0.14,0.47,0.09,1.29,-0.65,0.07,-0.09,0.32,0.25,-0.01,0.92
331,-0.12,0.3,0.28,0.47,-0.2,0.45,-0.18,0.08,0.14,0.47,0.09,1.29,-0.65,0.07,-0.09,0.32
332,-0.08,-0.12,0.02,0.04,0.3,0.28,0.47,-0.2,0.45,-0.18,0.08,0.14,0.47,0.09,1.29,-0.65
333,-0.42,-0.08,-0.69,-0.25,-0.12,0.02,0.04,0.3,0.28,0.47,-0.2,0.45,-0.18,0.08,0.14,0.47
334,-0.19,-0.42,-0.12,-0.17,-0.08,-0.69,-0.25,-0.12,0.02,0.04,0.3,0.28,0.47,-0.2,0.45,-0.18
335,0.05,-0.19,1.11,-0.25,-0.42,-0.12,-0.17,-0.08,-0.69,-0.25,-0.12,0.02,0.04,0.3,0.28,0.47
336,-0.1,0.05,-0.16,-0.05,-0.19,1.11,-0.25,-0.42,-0.12,-0.17,-0.08,-0.69,-0.25,-0.12,0.02,0.04
337,0.29,-0.1,-0.92,-0.09,0.05,-0.16,-0.05,-0.19,1.11,-0.25,-0.42,-0.12,-0.17,-0.08,-0.69,-0.25
338,0.33,0.29,1.6,-0.01,-0.1,-0.92,-0.09,0.05,-0.16,-0.05,-0.19,1.11,-0.25,-0.42,-0.12,-0.17
339,-0.37,0.33,-0.32,-0.45,0.29,1.6,-0.01,-0.1,-0.92,-0.09,0.05,-0.16,-0.05,-0.19,1.11,-0.25
340,0.41,-0.37,-1.86,-0.32,0.33,-0.32,-0.45,0.29,1.6,-0.01,-0.1,-0.92,-0.09,0.05,-0.16,-0.05
341,0.53,0.41,0.16,0.13,-0.37,-1.86,-0.32,0.33,-0.32,-0.45,0.29,1.6,-0.01,-0.1,-0.92,-0.09
342,-0.28,0.53,0.29,-0.33,0.41,0.16,0.13,-0.37,-1.86,-0.32,0.33,-0.32,-0.45,0.29,1.6,-0.01
343,-0.29,-0.28,-0.15,-0.29,0.53,0.29,-0.33,0.41,0.16,0.13,-0.37,-1.86,-0.32,0.33,-0.32,-0.45
344,1.1,-0.29,-0.48,0.11,-0.28,-0.15,-0.29,0.53,0.29,-0.33,0.41,0.16,0.13,-0.37,-1.86,-0.32
345,-0.15,1.1,0.74,0.43,-0.29,-0.48,0.11,-0.28,-0.15,-0.29,0.53,0.29,-0.33,0.41,0.16,0.13
346,-0.74,-0.15,0.09,-0.34,1.1,0.74,0.43,-0.29,-0.48,0.11,-0.28,-0.15,-0.29,0.53,0.29,-0.33
347,0.06,-0.74,0.86,-0.69,-0.15,0.09,-0.34,1.1,0.74,0.43,-0.29,-0.48,0.11,-0.28,-0.15,-0.29
348,-0.14,0.06,-0.75,-0.03,-0.74,0.86,-0.69,-0.15,0.09,-0.34,1.1,0.74,0.43,-0.29,-0.48,0.11
349,0.06,-0.14,-0.55,-0.08,0.06,-0.75,-0.03,-0.74,0.86,-0.69,-0.15,0.09,-0.34,1.1,0.74,0.43
350,0.48,0.06,0.7,-0.16,-0.14,-0.55,-0.08,0.06,-0.75,-0.03,-0.74,0.86,-0.69,-0.15,0.09,-0.34
351,0.24,0.48,0.38,-0.28,0.06,0.7,-0.16,-0.14,-0.55,-0.08,0.06,-0.75,-0.03,-0.74,0.86,-0.69
352,0.13,0.24,-0.07,-0.45,0.48,0.38,-0.28,0.06,0.7,-0.16,-0.14,-0.55,-0.08,0.06,-0.75,-0.03
353,-0.35,0.13,-0.54,0.2,0.24,-0.07,-0.45,0.48,0.38,-0.28,0.06,0.7,-0.16,-0.14,-0.55,-0.08
354,0.1,-0.35,0.02,-0.16,0.13,-0.54,0.2,0.24,-0.07,-0.45,0.48,0.38,-0.28,0.06,0.7,-0.16
355,0.6,0.1,0.16,0.28,-0.35,0.02,-0.16,0.13,-0.54,0.2,0.24,-0.07,-0.45,0.48,0.38,-0.28
356,-0.13,0.6,-0.48,0.11,0.1,0.16,0.28,-0.35,0.02,-0.16,0.13,-0.54,0.2,0.24,-0.07,-0.45
357,-0.26,-0.13,0.4,-0.04,0.6,-0.48,0.11,0.1,0.16,0.28,-0.35,0.02,-0.16,0.13,-0.54,0.2
358,0.25,-0.26,0.09,-0.21,-0.13,0.4,-0.04,0.6,-0.48,0.11,0.1,0.16,0.28,-0.35,0.02,-0.16
359,0.14,0.25,1.63,0.74,-0.26,0.09,-0.21,-0.13,0.4,-0.04,0.6,-0.48,0.11,0.1,0.16,0.28
360,0.28,0.14,0.29,-0.08,0.25,1.63,0.74,-0.26,0.09,-0.21,-0.13,0.4,-0.04,0.6,-0.48,0.11
361,0.14,0.28,-0.07,0.21,0.14,0.29,-0.08,0.25,1.63,0.74,-0.26,0.09,-0.21,-0.13,0.4,-0.04
362,0.58,0.14,0.1,0.04,0.28,-0.07,0.21,0.14,0.29,-0.08,0.25,1.63,0.74,-0.26,0.09,-0.21
363,0.03,0.58,0.59,0.09,0.14,0.1,0.04,0.28,-0.07,0.21,0.14,0.29,-0.08,0.25,1.63,0.74
364,0.04,0.03,-0.48,-0.27,0.58,0.59,0.09,0.14,0.1,0.04,0.28,-0.07,0.21,0.14,0.29,-0.08
365,-0.51,0.04,0,-0.17,0.03,-0.48,-0.27,0.58,0.59,0.09,0.14,0.1,0.04,0.28,-0.07,0.21
366,0.61,-0.51,0.01,-0.09,0.04,0,-0.17,0.03,-0.48,-0.27,0.58,0.59,0.09,0.14,0.1,0.04
367,0.07,0.61,-0.03,-0.62,-0.51,0.01,-0.09,0.04,0,-0.17,0.03,-0.48,-0.27,0.58,0.59,0.09
368,-0.58,0.07,-0.73,0.5,0.61,-0.03,-0.62,-0.51,0.01,-0.09,0.04,0,-0.17,0.03,-0.48,-0.27
369,-0.35,-0.58,0.22,-0.12,0.07,-0.73,0.5,0.61,-0.03,-0.62,-0.51,0.01,-0.09,0.04,0,-0.17
370,0.41,-0.35,0.73,-0.89,-0.58,0.22,-0.12,0.07,-0.73,0.5,0.61,-0.03,-0.62,-0.51,0.01,-0.09
371,0.81,0.41,-0.15,-0.23,-0.35,0.73,-0.89,-0.58,0.22,-0.12,0.07,-0.73,0.5,0.61,-0.03,-0.62
372,0.09,0.81,0.59,-0.48,0.41,-0.15,-0.23,-0.35,0.73,-0.89,-0.58,0.22,-0.12,0.07,-0.73,0.5
373,0.45,0.09,-0.09,0.33,0.81,0.59,-0.48,0.41,-0.15,-0.23,-0.35,0.73,-0.89,-0.58,0.22,-0.12
374,0.04,0.45,-0.27,0.04,0.09,-0.09,0.33,0.81,0.59,-0.48,0.41,-0.15,-0.23,-0.35,0.73,-0.89
375,0.25,0.04,-0.08,0.08,0.45,-0.27,0.04,0.09,-0.09,0.33,0.81,0.59,-0.48,0.41,-0.15,-0.23
376,0.12,0.25,1.09,0.16,0.04,-0.08,0.08,0.45,-0.27,0.04,0.09,-0.09,0.33,0.81,0.59,-0.48
377,-0.22,0.12,-1.14,-0.12,0.25,1.09,0.16,0.04,-0.08,0.08,0.45,-0.27,0.04,0.09,-0.09,0.33
378,0.18,-0.22,0.28,0.03,0.12,-1.14,-0.12,0.25,1.09,0.16,0.04,-0.08,0.08,0.45,-0.27,0.04
379,0.47,0.18,-0.09,0.02,-0.22,0.28,0.03,0.12,-1.14,-0.12,0.25,1.09,0.16,0.04,-0.08,0.08
380,-0.06,0.47,0.09,-0.04,0.18,-0.09,0.02,-0.22,0.28,0.03,0.12,-1.14,-0.12,0.25,1.09,0.16
